,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
10,1,322.78882999999996,322.84963999999997,322.94104,323.49161000000004,325.49571000000003,329.83127,337.39193,347.9163,359.7506,371.26445,381.32565,389.97193,398.04741,404.97724,410.93143,412.96738,412.44621,411.12302999999997,410.35422,410.54831,412.04053999999996,413.93958,414.6643,414.42028999999997,414.14675,413.22357,411.1033,406.41645,403.85618999999997,403.95096,405.15727000000004,406.07366,406.35553,409.13981,412.9467,418.12362,424.41097,437.17252,459.19738,487.3419,522.2857799999999,563.71518,604.23772,643.62098,679.17567,709.74715,738.03349,763.54477,785.36564,802.99602,815.93695,826.47113,835.39977,842.4739599999999,849.01551,855.177,861.01892,866.6216599999999,871.14311,874.1169,876.1070599999999,877.2371400000001,877.92244,878.3901199999999,879.29078,879.92119,880.5251599999999,880.78305,881.34285,881.7743,881.73695,881.6307800000001,880.9621300000001,878.9414199999999,875.15345,868.5826699999999,857.99761,844.2709199999999,826.50411,805.5138,781.77931,755.56015,727.91201,699.14891,670.33464,642.10515,613.56057,585.52116,558.50059,531.29608,507.60067999999995,486.60202999999996,469.53047000000004,457.54114000000004,448.61972000000003,441.79873,437.23435,434.3078,431.91954000000004,429.50292,428.61301,429.28772000000004,427.80739000000005,425.04733,423.11704000000003,421.50572999999997,419.7674,419.30138999999997,417.35672999999997,413.1037,407.96733,404.1736,398.37862,394.27005,390.58485,386.54097,382.86009,378.56755,373.6046,371.98156,364.91933,357.09185,347.13648,332.71961,320.56447000000003,309.22924,300.16233,295.42791,293.85231,294.41677999999996,297.17101,301.48438,306.45124,311.11059,315.21115,319.13772,322.48249,325.24174,327.40247999999997,328.84077,329.63133,330.11769,330.39553,330.37424,330.25194,330.15592000000004,330.24522,330.51378,331.00131,331.58369
53,1,256.64641,257.06847,257.56098,258.26079,258.51838,258.7842,258.84333,258.92776000000003,258.95331,259.12039,259.06909,259.4936,259.34694,259.34103999999996,259.4055,259.80112,259.60721,259.63439,259.85739,260.23834,260.99115,263.59177,268.52537,276.57302000000004,283.68109,291.2736,295.34783,297.92857000000004,299.81579,299.70411,298.90097000000003,298.73757,300.56434,299.78339,299.73849,300.62786,300.986,301.38947,301.94748,302.58612999999997,303.40305,304.25386000000003,303.68129,302.56201,300.50633,301.15339,303.40924,310.9537,323.72832,340.29341,360.95,378.70212999999995,392.72008999999997,406.23825,418.64055,431.29482,442.71075999999994,452.84644000000003,460.5225,467.79498,473.20081,477.35250999999994,480.74023,480.95579000000004,483.30068,484.26185,485.8851,485.23044000000004,486.58824000000004,487.28556,488.02792999999997,486.48504,486.84885,487.82379000000003,488.29247000000004,488.04599,488.25732999999997,488.40043,489.59085999999996,488.73542000000003,489.12,489.56390999999996,489.63773,488.72059,489.2159,489.25980999999996,489.78708,489.27619000000004,489.92215999999996,488.93225,488.66429000000005,488.97520999999995,489.09529000000003,489.66274000000004,489.31931,489.06772,489.58651,489.25449000000003,488.69926,489.49240999999995,489.34848,488.65817000000004,489.39802000000003,488.03623,487.35494000000006,486.44048,484.64086,482.42465999999996,477.51,470.64252,463.59064000000006,453.28675999999996,442.36087000000003,428.76318,414.89682999999997,400.54071,385.70536,369.8285,356.38847000000004,343.77913,332.81314,322.37952,312.6994,304.59251,297.98825,293.34404,290.50863,288.90788,287.66364,287.01779,286.33037,285.89254,285.58107,285.86847,286.16405,286.19452,286.24253999999996,286.28747000000004,286.03015,285.53594,284.65915,283.46353,281.7757,278.83885,273.37619,266.17624,257.86518,251.1363,247.96483999999998,248.20087
114,1,277.34527,277.47328999999996,277.79346,278.07122999999996,278.26841,278.30357999999995,278.53828,278.65527000000003,278.70785,278.5226,278.63642000000004,278.55281,278.5615,278.6085,278.63763,278.57036,278.44128,278.47347,278.52207000000004,278.63942000000003,278.57657,278.77732000000003,278.6906,278.85047000000003,279.14444,279.59294,280.9251,282.77434,285.04119,287.4574,288.32894,287.44697,286.46677,285.36368,284.72919,285.10896,286.55556,289.71148,291.69719,293.96982,295.35221,298.7135,303.49872,309.7434,317.67597,338.55056,357.52632,381.78571,395.68217000000004,405.8439,422.16852,437.84072000000003,453.15255999999994,468.6224,480.87888,487.82692000000003,492.14025,493.13402,494.087,494.82530999999994,494.93271,494.63769,495.20126,495.0348,494.88525,494.96135999999996,494.95696,494.77738,495.12046,494.40072999999995,494.31747,493.54512,493.02235,492.5778,492.63355,491.60797,491.86137,491.27364000000006,490.92532,490.19462000000004,489.5196,488.24395,484.67297,479.06627000000003,469.11627999999996,458.0999,446.69407,431.59519000000006,416.28118,399.55231000000003,384.42476,368.81806,355.53481,342.59361,333.22952999999995,321.62802,313.36566,306.37802999999997,301.12605,296.76082,293.1956,291.24273999999997,289.42989,287.61067,285.60573,285.31719,285.28365,285.01251,284.98131,285.05736,284.56992,284.69388,284.60542000000004,284.31122,283.28208,281.3875,277.39768,272.49701,267.5456,264.05835,262.00128,261.27124,262.09141,263.86814,265.17546,266.32257999999996,267.25245,268.71707999999995,269.89669,271.46071,272.8348,273.94723,274.9777,276.10996,276.34532,276.67539,276.81141,277.17273,277.9484,279.11065,280.87586,282.14699,283.00493,284.28722,284.63923,284.62194,284.57243,284.14842999999996,283.27969,282.93345
119,1,322.10943,322.01425,321.92688,322.07141,322.29565,322.77232000000004,323.38475,324.20642999999995,325.28036000000003,326.47011000000003,327.65587,329.8073,333.49363999999997,339.66842,349.66542999999996,362.88292,376.73126,389.43949,399.43748,406.83052999999995,411.61629,413.91765,413.86362,412.25518,410.90904,410.72916000000004,410.54829,409.50876,409.53951,411.43471,411.13318,409.35011000000003,408.50928,408.66794,410.09322000000003,410.25038,409.95583999999997,411.00088999999997,415.10707,420.8858,429.49525,441.9711,461.18889,487.14205999999996,518.0550400000001,553.832,591.6432,630.6345299999999,668.83091,703.47125,734.60983,762.99935,787.52753,808.77678,825.70346,839.53325,850.59834,859.71331,867.28262,873.5884,879.46509,883.4308599999999,886.11814,887.9869800000001,889.36507,889.8100300000001,890.39804,890.1166800000001,889.8037099999999,889.26405,889.0373300000001,888.8318300000001,888.46919,888.36635,888.24992,888.30295,888.1757699999999,888.0568800000001,888.1048300000001,887.9985300000001,887.22102,885.7154099999999,882.5563400000001,877.2950400000001,868.11879,855.3282,838.2738099999999,818.48348,793.52321,764.55246,733.80788,702.89023,671.42732,640.12482,610.8389,582.79795,555.4942,529.8223,507.67425,489.75583,476.3426,464.91585999999995,455.18912,447.64055999999994,441.08872,436.43785999999994,433.06785,430.35352,427.46704000000005,425.60729000000003,424.86827,422.9952,421.35652000000005,421.78899,420.29494000000005,417.71046,415.38394,414.23049,413.48156,412.22067000000004,409.30691,403.67248,398.90255,395.20599,392.548,391.84839,391.48819,392.2458,393.30977,393.90958,392.88004,389.03936,382.3458,372.55314,361.19951000000003,352.07103,347.71141,346.92499,348.31424,351.27103999999997,354.51049,356.88301,357.48361,357.35361,356.40646,355.37467000000004,354.40632,353.91911,353.80402000000004,353.72472
157,1,344.49454,344.93922000000003,345.41414,345.4314,345.50349,345.71169,346.00602000000003,346.59018,347.1934,348.14066,350.08182999999997,354.61541,363.02115,376.61028,392.60107999999997,408.13261,419.82039000000003,427.28039,431.41354,431.40979000000004,430.2142,427.59199,424.67387,424.33402,425.98725999999994,426.35990999999996,424.44957999999997,420.25336,416.36772,413.40439,412.17412,411.87455,413.53519,417.6313,424.41877,436.32309000000004,455.34011,483.30762000000004,517.64212,556.97586,599.0994900000001,642.4714299999999,685.41004,724.79093,758.13919,787.33019,812.73632,834.39963,851.2236199999999,864.3037400000001,873.7135800000001,880.98869,888.2176099999999,893.85336,897.6709199999999,900.5369800000001,902.19969,903.57284,903.6921,903.8394900000001,903.7908199999999,903.6181300000001,903.44979,903.69799,903.95146,904.15581,904.1151699999999,904.0310699999999,903.89184,903.69709,903.5628199999999,903.55424,903.56215,903.5269400000001,903.5559400000001,903.61378,903.4793099999999,903.32435,902.6011300000001,901.6954800000001,900.35311,898.08517,894.7551599999999,890.48356,883.5347300000001,873.70555,861.0568300000001,845.5735599999999,827.1423900000001,805.3564299999999,781.1642099999999,754.2996,724.88951,693.1402400000001,658.4086,621.5618099999999,583.32673,547.89352,514.57514,487.19968,465.32055999999994,449.4311,436.29434000000003,426.6584,418.95902,415.41373,414.61571000000004,418.15525,418.4851,418.39251,418.16927000000004,417.02002000000005,414.10414,410.84578,406.93362,403.51814,399.51582,395.76723,393.14743,391.12904,389.18439,388.05577999999997,385.27794,379.01686,370.25664,358.55956000000003,344.08434,330.94537,323.93612,323.80829,327.51968999999997,331.25737999999996,333.17072,333.93231000000003,334.10343,334.04215,334.02892,334.07282000000004,333.65717,333.4355,333.24897999999996,333.23841,333.36972000000003,333.66945,334.23969,335.28389,336.24185,337.14906,337.96935,338.76705
159,1,278.97745,279.23929,279.1916,279.13914,279.0845,278.8631,278.75433,278.79861,278.57607,278.34898,278.25361000000004,277.83108,277.61781,277.48782,277.51813,277.26105,277.20464,277.10862000000003,277.05505,276.81192000000004,276.94325,276.77123,276.78463,276.84822,276.84623999999997,276.84751,276.88074,276.86949,276.95355,276.94532999999996,277.10382999999996,277.0238,277.07961,277.40254,278.87721,281.55704,285.06802000000005,288.33906,289.78028,290.02771,289.31851,288.29419,286.43727,286.60742999999997,287.88626,290.48127,291.69119,294.41859,298.22303999999997,304.17531,311.24384,321.67508,346.7451,370.0,370.0,396.85409,414.23512,434.11183,450.51195,466.86245999999994,479.1494,486.69298,489.36382000000003,490.6002,491.14970999999997,490.72325,491.43547,491.78177999999997,492.45632,492.61616,492.83824000000004,492.67532,492.53968,492.99539000000004,493.92929000000004,493.59888,494.04848,494.44370999999995,495.32953,495.36944000000005,496.07819000000006,496.31897000000004,496.68321,497.6748,497.71626,497.44884,496.0678,494.15844000000004,492.08463,488.14516,483.31163,475.16942,464.83923,453.14097999999996,439.32635999999997,427.1864,411.51377,397.53191,382.66119,369.77419,359.37359,348.64623,339.97354,330.68466,324.47379,318.19907,312.71582,308.08074,305.32167000000004,302.46256,300.71177,299.39044,298.00403,296.44129,295.91267999999997,295.7097,296.1297,296.29492,297.14364,297.8963,298.43134,298.65783,298.51169,297.81662,295.39125,292.6338,289.07018999999997,286.63173,283.71555,281.23052,279.51317,278.48578,277.46154,277.05672999999996,276.6903,276.52099,276.40655,276.26497,276.23681,276.14626,276.09492,276.13992,275.98677000000004,275.49109,274.6931,273.67519,272.37755,271.30016,270.46494,269.84966000000003
136,1,812.8449,813.2925,813.61036,814.05003,814.39568,814.79067,815.32325,816.56076,819.60378,825.25535,834.80815,848.14178,865.4182,886.1952699999999,905.93525,923.99267,936.4513800000001,942.4006099999999,943.2680300000001,940.9034300000001,933.49295,923.1587900000001,912.29444,902.6518800000001,894.08866,890.66359,889.11092,889.6414800000001,892.11944,894.61171,895.67659,894.82293,895.39852,898.93843,905.0653199999999,916.7996699999999,935.0931400000001,960.7133,994.2736699999999,1030.3934,1065.3149,1096.3921,1126.1611,1152.4772,1178.5385,1207.2484,1234.8879,1259.8875,1282.1136,1302.2404,1319.4671,1332.862,1342.0902,1346.6646,1347.9046,1347.5564,1347.675,1347.3936,1347.4299,1347.5602,1347.2903,1346.3217,1344.0984,1340.568,1334.2737,1323.4773,1307.3459,1286.3985,1260.8157,1232.7091,1203.8193,1174.8167,1145.4614,1117.4663,1090.7266,1063.3253,1035.4349,1008.09,983.37666,962.4374300000001,946.0575,934.09105,925.17474,917.86187,912.85454,909.8038,908.04539,907.3648699999999,907.66127,908.2009800000001,907.66574,906.75515,907.0167,909.1591900000001,912.5858599999999,916.73232,918.2162400000001,918.06535,917.3366,917.0188699999999,917.18934,917.7383699999999,918.7262800000001,920.41172,924.58966,929.6495699999999,935.2934300000001,938.9903800000001,939.5138699999999,936.3733699999999,929.01493,915.6969,898.05746,877.6846,852.9749199999999,833.0944400000001,816.52313,803.15534,794.80898,792.53527,795.5221,800.94836,800.27752,796.83381,793.23542,792.11198,792.7343099999999,795.564,798.3547599999999,799.91692,800.15476,799.9405,799.82182,799.7228700000001,799.8002799999999,799.82992,799.61406,799.14015,798.55168,798.09604,797.67716,797.28618,796.7552,796.1644200000001,795.65611,795.13535,794.72781,794.53408,794.35112,794.35048
49,1,333.97173,334.06789,334.36301000000003,334.809,335.73296,338.12977,342.59364,350.63577999999995,361.63527999999997,374.11373,384.29592,391.40278,396.52811,398.16972000000004,397.64524,395.31653,395.18205,397.87339,399.77599,400.46027000000004,400.05955,399.00121,396.97522000000004,396.25505,396.34524,396.59019,396.91045,397.75207,399.39988,402.39922,409.51313,415.82742,424.38235,437.01921,455.93725,481.15767,510.2523,545.93967,584.4667599999999,621.26203,655.70645,683.18213,708.33122,730.60498,752.03714,769.822,784.03277,796.39975,806.89258,814.97852,821.88477,828.65157,835.11268,841.09521,846.1967099999999,849.9751699999999,852.48835,854.31292,855.17929,856.2925,857.29904,857.8476,858.2964,858.6785,858.7183699999999,858.4681300000001,858.0390699999999,856.72696,853.36154,847.38987,837.98648,824.27846,806.81088,784.22364,757.04793,726.9076200000001,695.32936,662.98772,630.47341,598.0387400000001,567.6458299999999,537.50028,511.10015999999996,488.8677,470.25545999999997,455.26165999999995,441.54229000000004,429.37274,420.54908,414.57218,409.7603,407.39372000000003,406.31333,404.92804,405.05528,405.11511,402.72151,401.5205,401.67772,401.67037999999997,401.17829,401.24938,401.11593999999997,396.3495,391.67947999999996,387.46414,383.20783,382.57408,381.68908999999996,380.68297,377.69104,374.32873,370.39383,367.73336,367.79728,363.77098,356.81022,349.20221000000004,339.46472,327.05535,318.65475,311.36595,305.76251,301.42158,299.14665,299.35998,301.70687000000004,305.76526,309.95194,314.16033999999996,318.28737,322.09292999999997,324.99973,326.67021,327.70371,327.98217,328.17303,328.04775,327.81706,327.05187,326.11627000000004,325.61214,325.22701,324.95207999999997,325.02813,325.19051,325.68425,326.54311,327.56456000000003,328.38301
82,1,839.29889,839.14813,838.9929400000001,838.7733599999999,838.5219,838.26747,838.05242,837.7728400000001,837.56988,837.25626,836.21682,834.77518,833.6845400000001,834.54398,839.99817,852.9694099999999,871.0199,891.02482,908.0907900000001,920.03403,925.53346,926.2427,923.47549,918.5627599999999,913.6819800000001,909.40083,909.89545,913.87781,920.8290800000001,929.06031,934.5188699999999,935.50371,931.7198599999999,929.503,934.52083,944.61366,955.92695,973.15626,901.82279,899.58751,897.32022,895.4785300000001,895.60149,890.67109,1194.5166,1222.7336,1248.5287,1272.3687,1296.0452,1316.9095,1335.4079,1351.7593,1364.4824,1372.9063,1377.0558,1378.1507,1378.4129,1378.9170000000001,1379.2412,1379.4017,1379.5566,1379.4664,1379.4137,1379.3036,1379.12,1379.0769,1379.1807,1379.4957,1379.4603,1379.1801,1379.0064,1378.3051,1378.3112,1370.2356,1357.6818,1336.2848,1305.3473,1268.3891,1230.1437,1192.0638,1154.4026,1118.0077,1083.2827,1051.2617,1051.269,995.51194,974.57531,960.58912,950.5021800000001,943.51411,939.6866,937.54572,936.38532,936.6233300000001,937.6342,938.1981900000001,940.09142,944.95152,948.2656699999999,950.7357800000001,953.0984800000001,953.41081,953.2497800000001,954.80131,958.04536,962.3226900000001,966.74918,970.5119199999999,970.5160800000001,970.8331599999999,965.09293,954.1754199999999,937.8869300000001,918.29623,896.24531,872.57962,849.75419,830.80381,818.88442,814.10738,814.12155,816.52387,817.50652,816.03295,814.9159099999999,814.92368,815.5978700000001,816.42145,816.68042,816.74763,817.00256,817.69934,819.09789,820.31256,820.93053,820.9103200000001,820.8913200000001,820.88126,820.85232,820.8408,820.8729,821.034,821.0947,821.27986,821.45452,821.69624,822.20265,822.9775099999999,823.91383,825.05647
52,1,841.71909,841.71929,841.6926699999999,841.65361,841.65302,841.5623099999999,841.5563199999999,841.5467,841.5559099999999,841.5731400000001,841.69881,841.86535,842.0156300000001,842.0790800000001,842.1192699999999,842.12275,842.0751300000001,842.0450300000001,841.96201,841.6541300000001,841.06345,839.82385,840.13825,842.66982,848.78885,860.22646,877.70159,899.58506,921.18657,939.0486699999999,951.4912800000001,957.49416,957.84425,953.89993,948.30244,942.3050800000001,936.38861,930.8647699999999,929.7253699999999,933.4154300000001,937.15105,938.48823,938.52934,939.52359,940.35923,941.4957400000001,942.22066,946.12495,955.02707,972.00829,888.5391400000001,886.8080199999999,882.5431,882.67794,880.3938300000001,1184.4181,1210.0667,1234.1962,1263.1583,1289.6843,1311.0299,1330.2818,1344.7741,1354.6370000000002,1359.1206,1360.8647,1360.5846,1359.8792,1359.0971,1358.606,1358.4522,1358.3012,1357.7746,1357.6444,1357.2978,1356.9609,1356.0569,1353.2976,1345.215,1328.5951,1303.84,1271.017,1234.3067,1195.1860000000001,1156.3365,1119.8807,1085.4816,1054.9451,1026.3410000000001,1000.6218,978.5255400000001,961.6655400000001,949.76439,941.2778300000001,934.83151,930.4998400000001,928.02335,926.8992300000001,926.6076699999999,927.37056,928.8678800000001,930.0882,932.0174199999999,935.9317,938.5074099999999,942.6393300000001,946.9294800000001,951.0990300000001,954.4893400000001,958.45336,963.79471,970.4884800000001,975.4711300000001,977.7367,974.85457,963.43261,945.80311,922.27172,895.4349599999999,869.0170400000001,847.51629,833.18789,825.98002,824.04852,824.18435,822.72577,821.8854,822.08102,822.80453,823.64003,824.73694,826.3057200000001,828.30925,830.07263,830.77711,831.0355,831.35845,831.76755,832.01292,832.68217,833.29985,833.68668,833.83233,833.8190900000001,833.75044,833.63349,833.58465,833.5298799999999,833.50033,833.45566
